company,data,updated_at
evm india pvt ltd,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""evm india pvt ltd"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/evm-india-pvt-ltd"", ""ICPMarketingSignal"": ""Tech conference participation"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""evm india pvt ltd"", ""email"": """"}",2026-05-11T12:31:08.911337
wipro,"{""ICPIndustry"": ""Information Technology and Services"", ""ICPEmployeesRange"": ""10,000-50,000"", ""ICPRevenueUSD"": ""13B"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Wipro Limited"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/wipro/"", ""ICPMarketingSignal"": ""Global IT services client base"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""wipro"", ""email"": """"}",2026-05-11T12:34:01.154181
jda infra ltd.,"{""ICPIndustry"": ""Construction"", ""ICPEmployeesRange"": ""50-200"", ""ICPRevenueUSD"": ""5M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""JDA Infra Ltd."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/jda-infra-ltd"", ""ICPMarketingSignal"": ""Regional construction projects"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""jda infra ltd."", ""email"": """"}",2026-05-11T12:56:51.394256
azentio,"{""ICPIndustry"": ""Software"", ""ICPEmployeesRange"": ""201-500"", ""ICPRevenueUSD"": ""50M"", ""ICPFundingType"": ""Venture Capital"", ""ICPFundingStage"": ""Series B"", ""ICPFUndingAmount"": ""20M"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/azentio"", ""ICPMarketingSignal"": ""Active SaaS product launches"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""azentio"", ""email"": """"}",2026-05-11T12:56:53.550372
repligen life science,"{""ICPIndustry"": ""Biotechnology"", ""ICPEmployeesRange"": ""201-500"", ""ICPRevenueUSD"": ""150M"", ""ICPFundingType"": ""Venture Capital"", ""ICPFundingStage"": ""Series D"", ""ICPFUndingAmount"": ""80M"", ""ICPParentCompany"": ""Repligen Corporation"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/repligen/"", ""ICPMarketingSignal"": ""Life sciences conference keynote"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""repligen life science"", ""email"": """"}",2026-05-11T12:56:55.704157
hospital bank,"{""ICPIndustry"": ""Financial Services"", ""ICPEmployeesRange"": ""10,000-50,000"", ""ICPRevenueUSD"": ""2B"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Hospital Bank"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/hospital-bank"", ""ICPMarketingSignal"": ""Healthcare finance services"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""hospital bank"", ""email"": """"}",2026-05-11T12:56:57.723226
pt oak technology indonesia,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""PT Oak Technology Indonesia"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/pt-oak-technology-indonesia"", ""ICPMarketingSignal"": ""Tech Conference Participation"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""pt oak technology indonesia"", ""email"": """"}",2026-05-11T12:57:00.001415
surya digital teknologi,"{""ICPIndustry"": ""Information Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Surya Digital Teknologi"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/suryadigitalkteknologi"", ""ICPMarketingSignal"": ""Digital marketing campaigns"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""surya digital teknologi"", ""email"": """"}",2026-05-11T12:57:01.818066
nybela,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/nybela"", ""ICPMarketingSignal"": ""Tech Startup"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""nybela"", ""email"": """"}",2026-05-11T12:57:04.090925
pag-ibig fund imc,"{""ICPIndustry"": ""Financial Services"", ""ICPEmployeesRange"": ""10,001-50,000"", ""ICPRevenueUSD"": ""2.5B"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Pag-IBIG Fund"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/pag-ibig-fund"", ""ICPMarketingSignal"": ""Public Government Entity"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""pag-ibig fund imc"", ""email"": """"}",2026-05-11T12:57:06.246000
yami it solutons private limited,"{""ICPIndustry"": ""Information Technology and Services"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Yami IT Solutions Private Limited"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/yami-it-solutions-private-limited"", ""ICPMarketingSignal"": ""Tech Conference Participation"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""yami it solutons private limited"", ""email"": """"}",2026-05-11T12:57:08.181488
cyc enterprises pvt ltd,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""50-200"", ""ICPRevenueUSD"": ""5M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/cyc-enterprises-pvt-ltd"", ""ICPMarketingSignal"": ""Industry trade shows and manufacturing certifications"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""cyc enterprises pvt ltd"", ""email"": """"}",2026-05-11T12:57:09.859226
